ID,SPB74 log 2,virido log2,J1074 log2,AA4 log2
701,1.134681771,0.312797601,0.304720927,0.0777491
702,null,null,null,null
703,null,null,null,null
704,null,null,null,null
705,0.316567978,0.573121603,0.592202815,0.279943801
706,null,null,null,null
707,null,null,null,null
708,null,null,null,null
709,null,null,null,null
710,null,null,null,null
711,0.007441932,1.568527073,1.45329239,-0.281317337
712,null,null,null,null
713,null,null,null,null
714,null,null,null,null
715,0.194023781,0.183021314,1.279334506,0.435784257
716,null,null,null,null
717,0.002270574,0.844472727,0.685554732,0.186849424
718,-0.366636761,-0.51434028,0.331112826,-0.63580324
719,-0.479298522,-0.120993025,-0.593875802,-0.137979272
720,0.606374306,0.213173788,-0.102088278,0.667980017
721,null,null,null,null
722,null,null,null,null
723,null,null,null,null
724,null,null,null,null
725,1.021663331,2.223734603,3.153722113,1.701957234
726,null,null,null,null
727,-0.438718666,-0.778219317,-0.595422598,-0.999411167
728,null,null,null,null
729,-0.305877148,-0.572416971,-0.722339458,-1.06266587
730,0.694406051,-0.324510305,-0.429858103,-0.588545803
731,null,null,null,null
732,null,null,null,null
733,0.436970632,0.352721898,-0.081145931,0.41003045
734,null,null,null,null
735,null,null,null,null
736,-0.316169431,-0.497509086,-0.827138542,-0.090936121
737,null,null,null,null
738,-0.431442204,-0.297891757,-0.318071025,-0.352396125
739,null,null,null,null
740,null,null,null,null
741,null,null,null,null
742,null,null,null,null
743,1.500994541,5.003383477,6.671194705,3.917581793
744,1.235380028,1.156642247,1.031570889,0.748550222
745,null,null,null,null
746,null,null,null,null
747,0.206604328,-0.261586426,-0.814519587,0.50098934
748,null,null,null,null
749,null,null,null,null
750,-0.609048937,-0.59639101,0.097993046,-0.281963826
751,null,null,null,null
752,null,null,null,null
753,0.01343884,0.167755914,0.341701971,-0.996545625
754,-1.011361969,-0.135214425,-0.954109545,-3.76626022
755,null,null,null,null
756,null,null,null,null
757,null,null,null,null
758,0.228542106,1.85685488,1.898717283,-0.374426742
759,-1.517850832,-1.074207797,-1.032039647,-2.053969842
760,null,null,null,null
761,-4.40960623,-0.824641466,-1.144040191,-1.442114502
762,null,null,null,null
763,null,null,null,null
764,null,null,null,null
765,null,null,null,null
766,null,null,null,null
767,0.534755413,0.293146844,0.578358911,0.172546515
768,null,null,null,null
769,null,null,null,null
770,-0.193369813,-0.021415978,-0.38304625,-0.221116578
771,-0.120573879,1.138734949,-0.117840885,0.410996591
772,null,null,null,null
773,null,null,null,null
774,null,null,null,null
775,-0.733302137,0.173561844,-0.868274186,-0.543753514
776,-1.312574352,-1.440050828,-1.230534521,-0.245917432
777,-0.458063068,0.060325735,0.29960587,0.082740387
778,-0.821551255,-0.000572441,-0.556567065,-0.778808825
779,0.231798513,-0.090364502,-0.151413196,-0.070060671
780,null,null,null,null
781,null,null,null,null
782,null,null,null,null
783,null,null,null,null
784,1.776616327,0.205738514,0.488514414,0.154532814
785,0.539988736,1.008261007,2.402534123,1.040610758
786,1.00330109,0.891421167,-0.246278258,1.628218483
787,null,null,null,null
788,0.237172624,-0.273986096,-0.261104622,-0.438311181
789,-0.539082966,1.775392215,2.123649688,1.241008958
790,null,null,null,null
791,-1.629215126,0.583854164,0.327524293,0.312797726
792,0.029354037,2.364037943,1.500601791,1.477009097
793,-0.405484402,-0.515754919,0.077923431,-0.957590847
794,null,null,null,null
795,-0.046176606,0.253624496,1.864158926,-0.353072315
796,-0.214110126,0.510437664,1.255140684,0.395156758
797,-1.934775791,-0.702985277,-0.682857957,-0.021591114
798,-1.032014218,-0.204494761,-0.233610305,-0.244224994
799,3.65087218,3.236536179,3.435753655,3.901867068
800,null,null,null,null
801,null,null,null,null
802,-0.094828242,-1.009896878,-1.421267378,-0.386798491
803,null,null,null,null
804,-0.284345333,-0.681006461,-0.397434137,-0.71607779
805,null,null,null,null
806,null,null,null,null
807,0.581465297,0.551824746,0.898717283,0.172939918
808,null,null,null,null
809,null,null,null,null
810,null,null,null,null
811,null,null,null,null
812,null,null,null,null
813,null,null,null,null
814,null,null,null,null
